"ID","Action","Date","Time","Enumerator","Country","Water Body","Region","District","Date","Village","Landing site","Fishing Ground (Locality)","Number of Fishers","Craft Type","Gear Type","Type of Fish (Species)","Local Name","Code","TL(cm)","FL","Uzito Wa Samaki","Longitude","Latitude","Connected_form","Connected_form_data"
"2067493","","09-06-2025","12:52 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-28","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","14","BT","GN","Thunnus albacares","","YFT","105.3","99.6","16","39.2127592","-6.6648224","",""
"2067493","","09-06-2025","12:52 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-28","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","14","BT","GN","Thunnus albacares","","YFT","115.6","108.5","19","39.2127592","-6.6648224","",""
"2067493","","09-06-2025","12:52 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-28","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","14","BT","GN","Thunnus albacares","","YFT","101.1","94.0","15","39.2127592","-6.6648224","",""
"2067493","","09-06-2025","12:52 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-28","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","14","BT","GN","Thunnus albacares","","YFT","126.8","120.1","26","39.2127592","-6.6648224","",""
"2067493","","09-06-2025","12:52 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-28","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","14","BT","GN","Thunnus albacares","","YFT","104.1","96.3","15","39.2127592","-6.6648224","",""
"2067492","","09-06-2025","12:50 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-02-03","Kunduchi Pwani","Kunduchi Pwani","
FURU","3","","HL","Thunnus albacares","","YFT","127.5","121.1","28","","","",""
"2067492","","09-06-2025","12:50 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-02-03","Kunduchi Pwani","Kunduchi Pwani","
FURU","3","","HL","Thunnus albacares","","YFT","97.5","87.0","11.5","","","",""
"2067492","","09-06-2025","12:50 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-02-03","Kunduchi Pwani","Kunduchi Pwani","
FURU","3","","HL","Thunnus albacares","","YFT","127.6","120.1","26","","","",""
"2067492","","09-06-2025","12:50 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-02-03","Kunduchi Pwani","Kunduchi Pwani","
FURU","3","","HL","Thunnus albacares","","YFT","130.1","126.4","33","","","",""
"2067492","","09-06-2025","12:50 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-02-03","Kunduchi Pwani","Kunduchi Pwani","
FURU","3","","HL","Thunnus albacares","","YFT","110.0","97.5","17.5","","","",""
"2067491","","09-06-2025","12:49 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-24","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","euthynnus affinis","","KAW","84.1","83.3","8","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","110.2","103.5","17","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","115.3","101.1","18","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","124.3","114.7","25","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","104.4","95.5","15","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","116.4","106.5","18","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","104.5","96.7","14","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","130.1","102.1","29","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","114.3","107.5","20","39.2127592","-6.6648224","",""
"2067490","","09-06-2025","12:46 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-04","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","20","BT","GN","Thunnus albacares","","YFT","116.2","107.8","17","39.2127592","-6.6648224","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","111.3","102.2","18","","","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","120.4","110.0","20","","","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","104.0","94.1","15","","","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","120.1","110.5","20","","","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","125.6","116.6","24","","","",""
"2067489","","09-06-2025","12:46 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","12","","HL","Thunnus albacares","","YFT","117.5","104.0","19","","","",""
"2067484","","09-06-2025","12:37 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-09","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","3","BT","HL","Thunnus albacares","","YFT","100.1","89.1","11","39.2127592","-6.6648224","",""
"2067484","","09-06-2025","12:37 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-09","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","3","BT","HL","Thunnus albacares","","YFT","102.8","92.6","14","39.2127592","-6.6648224","",""
"2067484","","09-06-2025","12:37 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-09","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","3","BT","HL","Thunnus albacares","","YFT","102.4","93.5","13","39.2127592","-6.6648224","",""
"2067481","","09-06-2025","12:34 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-05","Kunduchi Pwani","Kunduchi Pwani","KARANGE","3","BT","HL","Thunnus albacares","","YFT","102.7","92.5","14","39.2127592","-6.6648224","",""
"2067477","","09-06-2025","12:29 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-05","Kunduchi Pwani","Kunduchi Pwani","KARAGE","3","BT","HL","scomberomorus commerson","","COM","100.3","93.5","13","39.2127592","-6.6648224","",""
"2067477","","09-06-2025","12:29 PM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-05","Kunduchi Pwani","Kunduchi Pwani","KARAGE","3","BT","HL","scomberomorus commerson","","COM","110.2","102.0","14","39.2127592","-6.6648224","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","116.2","116.4","20","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","120.1","120.1","20","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","126.4","116.4","20","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","118.5","110.2","23","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","129.1","121.2","28","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","124.4","112.5","26","","","",""
"2067470","","09-06-2025","12:21 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-12-16","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","3","BT","HL","Thunnus albacares","","YFT","128.5","120.5","22","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","118.3","111.7","9.5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","87.5","78.4","4.5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","95.5","89.1","5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","95.0","87.2","5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","105.5","96.9","6.5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","93.4","85.2","4.5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","99.3","87.8","5.5","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","88.3","70.2","4","","","",""
"2067462","","09-06-2025","12:13 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","KARAGE KUBWA","3","","LL","scomberomorus commerson","","COM","88.2","80.1","4","","","",""
"2067458","","09-06-2025","12:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","MWAMBA NYAMVI","3","BT","LL","Rachycentron canadum","","CBA","127.5","120.5","15","","","",""
"2067458","","09-06-2025","12:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","MWAMBA NYAMVI","3","BT","LL","Rachycentron canadum","","CBA","118.2","113.2","13","","","",""
"2067458","","09-06-2025","12:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2024-11-02","Kunduchi Pwani","Kunduchi Pwani","MWAMBA NYAMVI","3","BT","LL","Rachycentron canadum","","CBA","117.6","110.6","95","","","",""
"2067450","","09-06-2025","11:50 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","scomberomorus commerson","","COM","102.2","93.1","6","39.212759","-6.6648254","",""
"2067448","","09-06-2025","11:47 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Sphyraena barracuda","","GBA","133.5","124.0","7.5","39.212759","-6.6648254","",""
"2067446","","09-06-2025","11:44 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Thunnus albacares","","YFT","112.3","104.0","19","39.212759","-6.6648254","",""
"2067446","","09-06-2025","11:44 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Thunnus albacares","","YFT","111.0","102.3","16","39.212759","-6.6648254","",""
"2067446","","09-06-2025","11:44 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Thunnus albacares","","YFT","107.1","96.5","16","39.212759","-6.6648254","",""
"2067446","","09-06-2025","11:44 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Thunnus albacares","","YFT","112.2","100.0","15.5","39.212759","-6.6648254","",""
"2067446","","09-06-2025","11:44 AM","Holo Mulela","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-04-03","Kunduchi Pwani","Kunduchi Pwani","MAMELINI","2","NG","","Thunnus albacares","","YFT","142.9","129.2","35","39.212759","-6.6648254","",""
"2047095","","25-03-2025","01:49 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","Sphyraena barracuda","","GBA","99.3","93.6","20","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","86.2","77.6","3.5","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","99.3","93.6","20","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","92.3","88.2","5","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","82.1","75.1","3","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","99.2","92.7","6","39.2127","-6.66472","",""
"2047075","","25-03-2025","01:45 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","scomberomorus commerson","","COM","85.9","78.1","4","39.2127","-6.66472","",""
"2047073","","25-03-2025","01:37 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","Thunnus albacares","","YFT","99.4","93.4","15","39.2127","-6.66472","",""
"2047073","","25-03-2025","01:37 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","Thunnus albacares","","YFT","103.5","96.2","15","39.2127","-6.66472","",""
"2047073","","25-03-2025","01:37 PM","Pendo Kabwebwe","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-03-25","Kunduchi Pwani","Kunduchi Pwani","PUNGUME","15","BT","LL","Thunnus albacares","","YFT","96.0","90.1","14","39.2127","-6.66472","",""
