"ID","Action","Date","Time","Enumerator","Country","Water Body","Region","District","Date","Village","Landing site","Fishing Ground (Locality)","Number of Fishers","Craft Type","Gear Type","Type of Fish (Species)","Local Name","Code","TL(cm)","FL","Uzito Wa Samaki","Longitude","Latitude","Connected_form","Connected_form_data"
"2067554","","09-06-2025","02:14 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","
KABINDA","7","BT","LL","scomberomorus commerson","","COM","82.9","74","2.5","","","",""
"2067554","","09-06-2025","02:14 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","
KABINDA","7","BT","LL","scomberomorus commerson","","COM","90.6","82.9","4","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","105.1","90.5","14","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","119.9","111.4","20","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","106.5","97.4","15","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","104.4","94.5","15","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","107.3","92.3","13","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","131.9","121.9","34","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","102.9","90.9","12","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","99.4","93","13","","","",""
"2067548","","09-06-2025","02:11 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-06-28","Kunduchi Pwani","Kunduchi Pwani","FUNGU LA JUU","7","BT","LL","Thunnus albacares","","YFT","100.1","93","12","","","",""
"2067546","","09-06-2025","02:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-05-26","Kunduchi Pwani","Kunduchi Pwani","
KABINDA","3","BT","LL","scomberomorus commerson","","COM","86.2","78.2","3.5","","","",""
"2067546","","09-06-2025","02:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-05-26","Kunduchi Pwani","Kunduchi Pwani","
KABINDA","3","BT","LL","scomberomorus commerson","","COM","81.1","75.1","3","","","",""
"2067546","","09-06-2025","02:06 PM","Julieth Mosille","Tanzania","Indian Ocean","Dar es Salaam","Kinondoni","2025-05-26","Kunduchi Pwani","Kunduchi Pwani","
KABINDA","3","BT","LL","scomberomorus commerson","","COM","83.2","73.9","2.5","","","",""
