date,lat,lon,english_name,fl,wt
2024-11-15,-8.53,41.1,YFT,32,138
2024-11-15,-8.58,40.55,YFT,36,139
2024-11-15,-8.53,41.1,YFT,31,136
2024-11-15,-8.58,40.55,YFT,45,149
2024-11-15,-8.53,41.1,YFT,38,141
2024-12-15,-8.58,40.55,YFT,31,132
2024-12-15,-8.58,40.55,BET,33,125
2024-12-15,-7.11,42.56,YFT,43,146
2024-12-15,-7.11,42.56,BET,9,65
2024-12-15,-7.33,42.45,YFT,20,119
2024-12-15,-7.33,42.45,BET,9,65
2024-12-15,-8.12,42.21,YFT,22,120
2024-12-15,-8.27,42.07,YFT,21,120
2024-12-15,-7.11,42.56,YFT,34,131
2024-12-15,-7.33,42.45,YFT,21,128
2024-12-15,-8.12,42.21,YFT,47,141
2024-12-15,-8.27,42.07,YFT,20,118
2024-12-15,NA,NA,YFT,28,125
2025-01-15,-6.27,42.42,YFT,28,121
2025-01-15,-6.27,42.42,BET,24,104
2025-01-15,-6.3,42.4,YFT,44,137
2025-01-15,-6.3,42.4,BET,24,104
2025-01-15,-6.28,42.36,YFT,47,141
2025-01-15,-6.28,42.36,BET,24,104
2025-01-15,-5.52,42.28,YFT,30,123
2025-01-15,-5.52,42.28,BET,21,101
2025-01-15,-6.27,42.42,YFT,20,102
2025-01-15,-6.27,42.42,BET,22,128
2025-01-15,-6.3,42.4,YFT,37,130
2025-01-15,-6.3,42.4,BET,21,126
2025-01-15,-6.28,42.36,YFT,22,120
2025-01-15,-6.28,42.36,BET,22,128
2025-01-15,-5.52,42.28,YFT,65,162
2025-01-15,-5.52,42.28,BET,24,132
2025-01-15,-6.27,42.42,YFT,29,127
2025-01-15,-6.3,42.4,YFT,50,154
2025-01-15,-6.28,42.36,YFT,44,137
2025-01-15,-5.52,42.28,YFT,28,126
2025-01-15,-6.27,42.42,YFT,39,142
2025-01-15,-6.3,42.4,YFT,40,144
2025-01-15,-6.28,42.36,YFT,23,121
2024-11-15,-5.52,42.28,YFT,29,123
2024-11-15,-7,41.11,YFT,33,130
2024-11-15,-7.2,41.3,YFT,38,134
2024-11-15,-7.55,41.45,YFT,43,140
2024-11-15,-8.03,41.45,YFT,59,155
2024-11-15,-6.56,41.41,YFT,26,121
2024-11-15,-7,41.11,YFT,29,124
2024-11-15,-7.2,41.3,YFT,37,132
2024-11-15,-7.55,41.45,YFT,39,135
2024-11-15,-8.03,41.45,YFT,49,144
2024-12-15,-6.56,41.41,YFT,23,112
2024-12-15,-6.56,41.41,BET,37,126
2024-12-15,-7,41.11,YFT,28,122
2024-12-15,-7,41.11,BET,40,130
2024-12-15,-7.2,41.3,YFT,35,130
2024-12-15,-7.2,41.3,BET,42,131
2024-12-15,-7.55,41.45,YFT,39,133
2024-12-15,-7.55,41.45,BET,44,134
2024-12-15,-8.03,41.45,YFT,44,139
2024-12-15,-8.03,41.45,BET,58,147
2024-12-15,-6.56,41.41,YFT,17,96
2024-12-15,-6.56,41.41,BET,32,121
2024-12-15,-7,41.11,YFT,20,100
2024-12-15,-7,41.11,BET,40,130
2024-12-15,-7.2,41.3,YFT,20,103
2024-12-15,-7.2,41.3,BET,41,131
2024-12-15,-7.55,41.45,YFT,22,106
2024-12-15,-7.55,41.45,BET,49,138
2024-12-15,-8.03,41.45,YFT,26,119
2024-12-15,-6.56,41.41,YFT,21,104
2024-12-15,-7,41.11,YFT,24,110
2024-12-15,-7.2,41.3,YFT,29,122
2024-12-15,-7.55,41.45,YFT,31,126
2024-12-15,-8.03,41.45,YFT,38,131
2024-12-15,-6.3,43.13,YFT,22,106
2024-12-15,-6.52,43.11,YFT,24,110
2024-12-15,-6.44,43.05,YFT,28,121
2024-12-15,-7.2,42.48,YFT,33,127
2024-12-15,-7.55,42.3,YFT,35,130
2025-01-15,-6.3,43.13,YFT,23,107
2025-01-15,-6.52,43.11,YFT,26,117
2025-01-15,-6.44,43.05,YFT,29,121
2025-01-15,-7.2,42.48,YFT,33,127
2025-01-15,-7.55,42.3,YFT,43,136
2025-01-15,-6.3,43.13,YFT,22,105
2025-01-15,-6.52,43.11,YFT,30,124
2025-01-15,-6.44,43.05,YFT,31,125
2025-01-15,-7.2,42.48,YFT,39,132
2025-01-15,-7.55,42.3,YFT,46,140
2024-11-15,-8.1,40.54,YFT,30,125
2024-11-15,-8.1,40.54,BET,21,115
2024-11-15,-8.09,41.07,YFT,33,127
2024-11-15,-8.09,41.07,BET,20,113
2024-11-15,-8.1,40.58,YFT,30,125
2024-11-15,-8.1,40.58,BET,22,113
2024-11-15,-8.1,41.07,YFT,44,138
2024-11-15,-8.09,40.54,YFT,61,155
2024-12-15,-7.55,40.28,YFT,25,121
2024-12-15,-7.55,40.28,BET,25,113
2024-12-15,-8.14,40.45,YFT,64,153
2024-12-15,-8.14,40.45,BET,33,127
2024-12-15,-7.5,41.05,YFT,35,130
2024-12-15,-7.5,41.05,BET,40,130
2024-12-15,-7.5,41.05,YFT,45,139
2024-12-15,-7.5,41.05,BET,22,123
2024-12-15,-8.06,40.57,YFT,39,132
2024-12-15,-8.06,40.57,BET,22,123
2024-12-15,-7.56,41.09,YFT,37,132
2024-12-15,-7.56,41.09,BET,20,121
2024-12-15,-7.5,41.05,YFT,26,123
2024-12-15,-7.5,41.05,BET,20,121
2024-12-15,-7.5,41.05,YFT,30,125
2024-12-15,-7.5,41.05,BET,21,122
2024-12-15,-8.06,40.57,YFT,27,121
2024-12-15,-7.56,41.09,YFT,30,125
2024-12-15,-7.5,41.05,YFT,40,138
2024-12-15,-7.5,41.05,YFT,11,72
2025-01-15,-8.06,40.57,YFT,27,120
2025-01-15,-8.06,40.57,BET,21,100
2025-01-15,-7.56,41.09,YFT,47,142
2025-01-15,-7.56,41.09,BET,14,80
2025-01-15,-7.5,41.05,YFT,55,149
2025-01-15,-7.5,41.05,BET,80,172
2025-01-15,-7.1,41,YFT,70,165
2025-01-15,-7.1,41,BET,25,113
2025-01-15,-6.44,41.3,YFT,35,130
2025-01-15,-6.44,41.3,BET,33,130
2025-01-15,-6.35,42.37,YFT,50,147
2025-01-15,-6.35,42.37,BET,28,125
2025-01-15,-8.06,40.57,YFT,30,125
2025-01-15,-8.06,40.57,BET,22,118
2025-01-15,-7.56,41.09,YFT,46,141
2025-01-15,-7.56,41.09,BET,68,165
2025-01-15,-7.5,41.05,YFT,27,132
2025-01-15,-7.5,41.05,BET,25,115
2025-01-15,-7.1,41,YFT,26,115
2025-01-15,-7.1,41,BET,38,136
2025-01-15,-6.44,41.3,YFT,20,100
2025-01-15,-6.44,41.3,BET,44,145
2025-01-15,-6.35,42.37,YFT,20,102
2025-01-15,-8.06,40.57,YFT,13,90
2025-01-15,-7.56,41.09,YFT,32,129
2025-01-15,-7.5,41.05,YFT,31,129
2025-01-15,-7.1,41,YFT,55,152
2025-01-15,-6.44,41.3,YFT,25,121
2025-01-15,-6.35,42.37,YFT,33,130
2024-11-15,-9.4,40.03,YFT,35,132
2024-11-15,-9.4,40.03,BET,19,101
2024-11-15,-9.33,40.07,YFT,37,134
2024-11-15,-9.33,40.07,BET,21,104
2024-11-15,-9.1,40.03,YFT,51,148
2024-11-15,-9.1,40.03,BET,18,101
2024-11-15,-9.15,40.03,YFT,30,122
2024-11-15,-9.15,40.03,BET,40,127
2024-11-15,-9.25,40.05,YFT,45,142
2024-11-15,-9.25,40.05,BET,21,104
2024-11-15,-9.17,40.03,YFT,55,150
2024-11-15,-9.17,40.03,BET,29,105
2024-11-15,-9.26,40.05,YFT,44,137
