landing_site,fishing_date,fishing_ground,english_name,scientific_name,group,tl,fl,wt,area
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,99.4,93.4,15,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,99.3,93.6,13,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,110.6,103.1,17,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,123.5,117.5,26,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,102.1,92.4,13,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,104.8,97.1,15,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,140.4,113.9,21,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,102.2,93.7,13,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,112.4,103.6,9.5,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,96,90.1,14,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,101.8,95,14.5,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,103.5,96.2,15,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,100.2,90.5,14,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,112.4,111,22,Mainland
Kunduchi Pwani,2025-03-25,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,103.3,102,17,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,104.5,97.7,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,101.4,95.9,14.9,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,104.9,97.7,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,105.8,67.6,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,NA,NA,NA,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,NA,NA,NA,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,106.6,95.8,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,108.8,100.1,18,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,103.1,98.8,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,104.5,99.1,15,Mainland
Kunduchi Pwani,2025-03-22,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,NA,NA,NA,Mainland
Kunduchi Pwani,2025-03-20,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,109.1,100.4,17,Mainland
Kunduchi Pwani,2025-03-20,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,124.1,119.4,24,Mainland
Kunduchi Pwani,2025-03-20,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,122.2,112.3,22,Mainland
Kunduchi Pwani,2025-03-20,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,138.5,128.7,20,Mainland
Kunduchi Pwani,2025-03-17,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,105.5,95.8,14,Mainland
Kunduchi Pwani,2025-03-15,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,118.2,106.5,22,Mainland
Kunduchi Pwani,2025-03-15,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,121.5,113.5,21,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,116.5,105.4,23,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,118.2,109.1,21,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,138.2,129.6,35,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,116.1,109.9,20,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,133.9,123.6,31,Mainland
Kunduchi Pwani,2025-03-08,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,NA,NA,NA,Mainland
Kunduchi Pwani,2025-03-03,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,112.2,102.4,16,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,95.7,88.4,11,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,124.1,112.6,23,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,123.8,117.5,24,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,138.1,128.2,34,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,110.6,101.6,20.5,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,125.2,120.3,26.5,Mainland
Kunduchi Pwani,2025-01-09,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,90.1,84.6,10,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,117.5,109.5,19,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,120.9,113.8,25,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,126.6,119.2,27,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,109.2,102.2,18,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,119.3,115.3,24,Mainland
Kunduchi Pwani,2025-01-07,MAMELINI,Yellowfin Tuna,Thunnus albacares,Tuna,115.5,107.2,22,Mainland
Kunduchi Pwani,2025-01-04,KARAGE,Yellowfin Tuna,Thunnus albacares,Tuna,106.1,102.2,12,Mainland
Kunduchi Pwani,2025-01-04,KARAGE,Yellowfin Tuna,Thunnus albacares,Tuna,120.1,114,23,Mainland
Kunduchi Pwani,2025-01-04,KARAGE,Yellowfin Tuna,Thunnus albacares,Tuna,121.1,118.5,27,Mainland
Kunduchi Pwani,2025-01-04,PUNGUME,Yellowfin Tuna,Thunnus albacares,Tuna,121.3,114,30,Mainland
